Frame,Maximum diameter of the drop (d_e),Diameter at the lowest end (d_s),Surface_Tension
127,0.0013200523869818302,0.0009763404266118918,12.625725548748612
128,0.001314717339328923,0.0006071741218424864,40.459136270536234
129,0.0013165854148219646,0.0005959650788010582,42.6516207095363
130,0.0013029219644337656,0.0005894160120010466,41.83523463365712
131,0.0013560105870646952,0.0005842176159789596,51.16812821399683
132,0.0012992739747548995,0.0005774775030949721,43.47135417312094
133,0.0013560105870646952,0.00097729936959111,14.210247229718188
134,0.0013228321150562411,0.0009887366063955397,12.351357252918428
135,0.0013242693200491422,0.0009655574686845722,13.166953520602481
136,0.0013152445010586981,0.0006079002208211392,40.41158692507986
137,0.0013331198858718574,0.0006156733188871972,41.59964095867948
138,0.001314717339328923,0.00097729936959111,12.367953325703471
139,0.001339148750611492,0.0009769342876365934,13.446394542474573
140,0.0013615297294946815,0.0005951185370686244,49.76549420807623
141,0.001313710352252176,0.0009777506441022558,12.311316088967653
142,0.0013454380098084039,0.0006043697848824882,45.40078077540487
143,0.0013454380098084039,0.0009882802613842686,13.34306653546265
144,0.0013024853527868086,0.0009671226040660585,12.172793147534087
145,0.0013046607961093638,0.0009665359753053198,12.282890351993874
147,0.0013124145192759075,0.0009665359753053198,12.614069035686185
148,0.0012950128497284804,0.000989538916747779,11.204485378036596
149,0.0013046607961093638,0.0009671226040660585,12.264347118845121
150,0.0012959371119705433,0.000989538916747779,11.24043549043847
151,0.0013218086848215734,0.000966655717991123,13.020550610046401
152,0.0013200523869818302,0.0009766044094277504,12.617229339390782
153,0.0013046607961093638,0.0009671226040660585,12.264347118845121
154,0.0013173988751496962,0.0009777506441022558,12.467282556948172
155,0.0013092415281406576,0.0009671226040660585,12.458877965675946
156,0.0013142858679130707,0.0009783305483212126,12.317352390925148
157,0.001314717339328923,0.0009783305483212126,12.335519034306559
158,0.0013152445010586981,0.0009655574686845722,12.768820959397962
159,0.001335405594907663,0.0009767833719999176,13.28356793258542
160,0.0013062055737345962,0.0009655574686845722,12.37950893477421
161,0.0013465433707440968,0.0009783305483212126,13.73407287791799
162,0.0013340363594015914,0.0009660794622184091,13.590329952107593
163,0.0013139501810787266,0.0009777506441022558,12.321410731227845
164,0.0013327602893983327,0.0009655574686845722,13.550281398212267
165,0.0012822489729435308,0.0010119568697374774,10.135651792965525
166,0.001295015147399077,0.001011992051218253,10.595763595225174
167,0.0013322011097019401,0.0009893230263922374,12.73021162663396
168,0.0013253898137582014,0.0005901476218374167,45.03394767866886
169,0.0013368677096529935,0.0009783305483212126,13.296491497615843
170,0.001308133980444505,0.001000180788407304,11.41516485696852
171,0.0013071219216568891,0.0009542655461652405,12.787688174320511
172,0.001343638607993449,0.0009777506441022558,13.621642803421492
173,0.0013455602017662712,0.0009777506441022558,13.709330506693252
174,0.0013496753603891045,0.0009783305483212126,13.878088030824797
175,0.0013400693414924022,0.000989538916747779,13.064197995863644
176,0.0013568846932806287,0.0009893230263922374,13.824043028915183
177,0.0013289721476090494,0.0009665359753053198,13.344508807065667
178,0.001314368058074884,0.0009438444227655001,13.4724461499899
179,0.0013455602017662712,0.00097729936959111,13.725098563146553
180,0.0013528932637443928,0.0009657532493229977,14.486573015869427
181,0.0013534608531733177,0.0009887366063955397,13.68830376758737
182,0.0013567422057824726,0.001000077557715813,13.45049731521419
183,0.001345185472189481,0.0009665359753053198,14.091208179392163
184,0.0013340363594015914,0.001000180788407304,12.465695398806579
185,0.0013289721476090494,0.0009783305483212126,12.947511065368943
186,0.0013273114359202336,0.0009543315830184501,13.69638512646636
187,0.0013368677096529935,0.0009542655461652405,14.14717817414708
188,0.0013273114359202336,0.000989538916747779,12.514956370458048
189,0.0013439199884596226,0.0010007476950936057,12.867599919903952
190,0.0013680943116516334,0.001011992051218253,13.557487049751463
191,0.001339148750611492,0.001011992051218253,12.316281180582282
192,0.0013504101521538167,0.00102332717164464,12.438385751220505
193,0.0013567422057824726,0.001011418774793903,13.078080058812553
194,0.0013518886951547125,0.0009652547185953056,14.456912884197335
195,0.0013294936571317782,0.001000180788407304,12.27623063372976
196,0.0013465433707440968,0.0009657532493229977,14.183772100280144
197,0.0013216017244653756,0.0010007476950936057,11.935554559305618
198,0.0013738782045305893,0.000989538916747779,14.610627727640688
199,0.0013616730715389743,0.001011992051218253,13.274106053620933
200,0.0013699301436112142,0.001011992051218253,13.639363557968002
201,0.0013479934048418135,0.000989538916747779,13.414651074480243
202,0.0013173988751496962,0.0010007476950936057,11.76607324989227
203,0.0013400693414924022,0.0010007476950936057,12.702885160021319
204,0.0013270630516700654,0.0009897504676749946,12.497790361606476
205,0.001362631233988977,0.0009786648627175835,14.474023324768229
206,0.0013439199884596226,0.001000180788407304,12.88576817984037
207,0.0013563358641836226,0.0010226119493451013,12.707439672631212
208,0.0013688232787887498,0.0010113962460246554,13.6098955010838
209,0.0013479934048418135,0.0010109599904217625,12.718024814105057
210,0.0013304032142533327,0.0009891897907324985,12.657497727930819
211,0.0013539176539032933,0.000988519430149486,13.716560008982675
212,0.001371766592556911,0.0009997396387359362,14.144218611164147
213,0.001492765015905219,0.0005837859811834412,78.91492708094385
214,0.0014794057822710466,0.0005995773179525622,70.91966376484332
215,0.001396411743868376,0.0009675796631748257,16.621101190085007
216,0.0013918333929662874,0.0009889655848523038,15.510107201913891
217,0.001370306420523786,0.00102332717164464,13.282642812850806
218,0.0013717206518481602,0.0009889655848523038,14.528839596049684
219,0.0013761239662757724,0.0010007476950936057,14.311111355660419
220,0.0013566467985311474,0.0009891897907324985,13.81779714793124
221,0.0013427630214908632,0.0009998505399775673,12.846593852160808
222,0.0013501888733338308,0.001000180788407304,13.157855237461396
223,0.0013827482215084395,0.0010119568697374774,14.223037125027242
224,0.001409783407268713,0.0009665359753053198,17.394443847337925
225,0.0013576826106185395,0.0009997396387359362,13.503766837166063
226,0.00138931503828936,0.00102332717164464,14.130201721413805
227,0.0013507727569105731,0.0009884417267555273,13.576740058088568
228,0.0013576826106185395,0.0009997396387359362,13.503766837166063
229,0.0013495352774922518,0.000988519430149486,13.518336279513242
230,0.0013676718264417716,0.001000180788407304,13.9403096967573
231,0.0013526424657116422,0.0009891897907324985,13.635612672833494
232,0.0013888047126774598,0.001011992051218253,14.503642841207752
233,0.0013717206518481602,0.001000180788407304,14.126565207656613
234,0.0013717206518481602,0.0010007476950936057,14.106647488734508
235,0.0013588425276268715,0.0010119568697374774,13.151799584801445
